code_epci,lib_epci,hommes_moins_de_25_ans,hommes_25_a_49_ans,hommes_plus_de_50_ans,total_hommes,femmes_moins_de_25_ans,femmes_25_a_49_ans,femmes_plus_de_50_ans,total_femmes,diplome_niv_1_2,diplome_niv_3,diplome_niv_4,diplome_niv_5,diplome_niv_5_bis,diplome_niv_6,diplome_indetermine,total_categorie_a
247000821.0,CC Rahin et Chérimont,42,130.0,77,249.0,40,138.0,83,261.0,47,46,95.0,237.0,35,50,",",510.0
247000854.0,CC des 1000 étangs,25,94.0,68,187.0,28,82.0,69,179.0,24,35,84.0,160.0,27,36,",",366.0
247100290.0,CU Le Creusot Montceau-les-Mines,420,1404.0,683,2507.0,331,1132.0,696,2159.0,364,482,1051.0,2056.0,s.s,430,s.s,4666.0
247100589.0,CA Le Grand Chalon,386,1604.0,754,2744.0,360,1450.0,809,2619.0,577,604,1140.0,2092.0,s.s,650,s.s,5363.0
247100639.0,CC de Marcigny,14,54.0,40,108.0,9,52.0,41,102.0,17,41,41.0,73.0,s.s,22,s.s,210.0
247100647.0,CC Bresse Nord Intercom,15,59.0,48,122.0,19,72.0,31,122.0,18,17,41.0,131.0,18,19,",",244.0
247103765.0,CC Entre Saône et Grosne,17,106.0,64,187.0,28,103.0,82,213.0,45,55,93.0,156.0,21,30,",",400.0
247103864.0,CC du Canton de Semur-en-Brionnais,7,32.0,28,67.0,13,30.0,40,83.0,14,18,32.0,78.0,s.s,s.s,",",150.0
247104094.0,CC Sud Côte Chalonnaise,23,93.0,78,194.0,22,96.0,59,177.0,60,52,68.0,145.0,s.s,26,s.s,371.0
247200090.0,CC de Sablé-sur-Sarthe,137,350.0,152,639.0,135,359.0,135,629.0,104,126,257.0,534.0,s.s,165,s.s,1268.0
247200132.0,CU Le Mans Métropole,1170,4188.0,1565,6923.0,1168,4241.0,1501,6910.0,1624,1461,2933.0,5092.0,847,1868,8,13833.0
247200348.0,CC du Pays Fléchois,142,288.0,150,580.0,126,309.0,169,604.0,86,98,249.0,537.0,s.s,129,s.s,1184.0
247200421.0,CC du Sud Est du Pays Manceau,40,129.0,54,223.0,43,150.0,59,252.0,62,57,141.0,159.0,s.s,28,s.s,475.0
247200447.0,CC Orée de Bercé - Belinois,57,159.0,83,299.0,62,169.0,90,321.0,54,78,148.0,275.0,22,43,",",620.0
247200629.0,CC du Val de Sarthe,94,224.0,121,439.0,73,249.0,140,462.0,91,123,197.0,390.0,45,55,",",901.0
247200686.0,CC du Pays de l'Huisne Sarthoise,121,289.0,158,568.0,90,291.0,162,543.0,87,103,221.0,480.0,78,142,",",1111.0
247300015.0,CC des Vallées d'Aigueblanche,8,71.0,26,105.0,8,79.0,43,130.0,26,27,57.0,91.0,13,21,",",235.0
247300254.0,CC de Haute-Tarentaise,27,187.0,81,295.0,15,137.0,61,213.0,90,69,114.0,132.0,s.s,78,s.s,508.0
247300262.0,CC de Yenne,22,77.0,38,137.0,9,90.0,42,141.0,45,44,61.0,110.0,9,s.s,s.s,278.0
247300361.0,CC du Canton de la Chambre,15,54.0,28,97.0,11,66.0,49,126.0,29,20,48.0,97.0,16,13,",",223.0
247300452.0,CC Maurienne Galibier,7,33.0,17,57.0,6,41.0,24,71.0,15,18,28.0,54.0,s.s,s.s,",",128.0
247300528.0,CC Val Guiers,44,133.0,73,250.0,44,132.0,70,246.0,55,68,117.0,191.0,35,30,",",496.0
247300668.0,CC du Lac d'Aiguebelette (CCLA),20,52.0,33,105.0,10,55.0,34,99.0,40,40,55.0,51.0,9,9,",",204.0
247300676.0,CC Porte de Maurienne,15,45.0,35,95.0,14,70.0,35,119.0,23,27,59.0,81.0,12,12,",",214.0
247300817.0,CC Les Versants d'Aime,13,92.0,25,130.0,10,82.0,45,137.0,57,37,62.0,82.0,9,20,",",267.0
247400047.0,CC de la Vallée Verte,17,90.0,41,148.0,13,100.0,43,156.0,62,53,63.0,96.0,8,22,",",304.0
247400112.0,CC du Pays de Cruseilles,16,178.0,65,259.0,23,198.0,58,279.0,162,80,104.0,156.0,s.s,21,s.s,538.0
247400567.0,CC Fier et Usses,41,148.0,72,261.0,26,179.0,78,283.0,119,90,117.0,166.0,27,s.s,s.s,544.0
247400583.0,CC Arve et Salève,55,245.0,103,403.0,36,273.0,106,415.0,164,121,181.0,265.0,s.s,47,s.s,818.0
247400617.0,CC des Vallées de Thônes,37,132.0,66,235.0,22,126.0,51,199.0,106,81,99.0,122.0,9,17,",",434.0
247400666.0,CC des Quatre Rivières,46,225.0,111,382.0,38,210.0,107,355.0,122,96,184.0,251.0,s.s,46,s.s,737.0
247400682.0,CC du Haut-Chablais,16,101.0,44,161.0,10,70.0,40,120.0,54,45,75.0,92.0,s.s,s.s,",",281.0
247400690.0,CC du Genevois,107,780.0,296,1183.0,100,802.0,251,1153.0,597,308,504.0,674.0,s.s,150,s.s,2336.0
247400724.0,CC du Pays Rochois,55,346.0,133,534.0,56,343.0,128,527.0,177,179,240.0,331.0,s.s,82,s.s,1061.0
247400740.0,CC Rumilly Terre de Savoie,87,319.0,116,522.0,67,324.0,118,509.0,146,111,242.0,387.0,s.s,91,s.s,1031.0
247400773.0,CC des Sources du Lac d'Annecy,52,184.0,78,314.0,29,171.0,81,281.0,99,87,130.0,203.0,s.s,48,s.s,595.0
247600505.0,CC Campagne-de-Caux,46,97.0,56,199.0,53,133.0,93,279.0,42,71,121.0,187.0,s.s,33,s.s,478.0
247600588.0,CC des Villes Soeurs,200,539.0,267,1006.0,165,503.0,339,1007.0,107,192,477.0,915.0,156,166,",",2013.0
247600604.0,CC de Londinières,19,52.0,18,89.0,15,65.0,32,112.0,7,22,48.0,93.0,10,21,",",201.0
