lib_epci,hommes_moins_de_25_ans,hommes_25_a_49_ans,hommes_plus_de_50_ans,total_hommes,femmes_moins_de_25_ans,femmes_25_a_49_ans,femmes_plus_de_50_ans,total_femmes,diplome_niv_1_2,diplome_niv_3,diplome_niv_4,diplome_niv_5,diplome_niv_5_bis,diplome_niv_6,diplome_indetermine,total_categorie_a
CC du Gâtinais en Bourgogne,55,205,122,382,47,207,134,388,s.s,91,147,357,59,78,s.s,770
CC du Gévaudan,31,104,56,191,17,81,33,131,35,38,66,134,13,36,",",322
CC du Haut Allier,14,57,27,98,s.s,43,s.s,78,23,13,32,76,s.s,18,s.s,176
CC du Haut Lignon,14,73,54,141,18,73,73,164,s.s,30,66,117,28,27,s.s,305
CC du Haut Pays Bigouden,67,245,120,432,46,179,105,330,s.s,119,180,297,33,26,s.s,762
CC du Haut Pays du Montreuillois,56,159,96,311,55,219,81,355,s.s,81,149,286,43,70,s.s,666
CC du Haut Val d'Oise,162,627,272,1061,149,674,183,1006,s.s,208,482,712,177,278,s.s,2067
CC du Haut Vallespir,58,212,149,419,37,192,144,373,s.s,66,170,371,57,68,s.s,792
CC du Haut-Chablais,11,100,43,154,14,83,40,137,s.s,52,68,87,14,21,s.s,291
CC du Haut-Jura (Arcade),38,161,99,298,21,108,70,199,s.s,46,90,199,35,87,s.s,497
CC du Haut-Poitou,117,377,178,672,84,415,196,695,s.s,163,295,617,70,83,s.s,1367
CC du Jovinien,104,340,150,594,86,297,135,518,s.s,87,197,512,71,161,s.s,1112
CC du Kochersberg,31,159,89,279,52,193,92,337,s.s,100,122,202,27,26,s.s,616
CC du Kreiz-Breizh (Cckb),51,262,138,451,47,216,131,394,s.s,84,219,345,50,53,s.s,845
CC du Lac d'Aiguebelette (Ccla),11,61,32,104,15,55,32,102,s.s,32,38,80,s.s,s.s,s.s,206
CC du Lautrécois et du Pays d'Agout,38,181,92,311,47,170,84,301,s.s,81,144,244,26,39,s.s,612
CC du Liancourtois,117,326,119,562,86,329,124,539,s.s,134,237,441,86,129,s.s,1101
CC du Limouxin,126,456,277,859,111,460,292,863,s.s,171,393,728,110,177,s.s,1722
CC du Massif du Sancy,31,93,64,188,30,118,100,248,s.s,39,104,176,32,42,s.s,436
CC du Massif du Vercors,23,117,76,216,15,113,83,211,s.s,64,104,140,11,11,s.s,427
CC du Mont des Avaloirs,39,202,91,332,53,137,75,265,s.s,42,99,290,67,70,s.s,597
CC du Montbardois,42,154,91,287,45,118,86,249,s.s,36,86,277,34,70,s.s,536
CC du Nivernais Bourbonnais,16,56,28,100,16,44,31,91,s.s,17,34,96,13,24,s.s,191
CC du Nogentais,72,254,122,448,65,297,138,500,s.s,73,151,439,91,125,s.s,948
CC du Nord Est Béarn,89,283,172,544,45,346,191,582,s.s,156,239,464,46,63,s.s,1126
CC du Pays Arnay Liernais,20,62,39,121,25,59,53,137,s.s,18,55,122,s.s,30,s.s,258
CC du Pays Beaume-Drobie,46,221,117,384,43,189,120,352,s.s,75,188,317,36,39,s.s,736
CC du Pays Bellegardien (Ccpb),69,383,145,597,70,351,124,545,s.s,111,238,484,66,135,s.s,1142
CC du Pays Bigouden Sud,142,465,247,854,98,436,303,837,s.s,225,408,649,79,67,s.s,1691
CC du Pays Châtillonnais,74,261,165,500,59,237,157,453,s.s,67,149,452,72,165,s.s,953
CC du Pays Entre Loire et Rhône,36,129,92,257,27,129,73,229,s.s,49,100,218,36,52,s.s,486
CC du Pays Fertois,120,432,179,731,109,468,172,749,s.s,131,340,585,140,148,s.s,1480
CC du Pays Fertois et du Bocage Carrougien,15,47,31,93,15,35,30,80,s.s,16,39,87,s.s,14,s.s,173
CC du Pays Fléchois,113,288,131,532,88,294,163,545,s.s,72,169,519,91,155,s.s,1077
CC du Pays Fouesnantais,85,336,166,587,73,326,211,610,s.s,183,313,384,49,45,s.s,1197
CC du Pays Foyen,82,277,175,534,75,293,146,514,s.s,59,202,430,91,203,s.s,1048
CC du Pays Gentiane,10,40,26,76,s.s,42,s.s,77,s.s,11,35,74,13,s.s,s.s,153
CC du Pays Grenadois,28,67,42,137,19,106,41,166,30,36,62,143,11,21,",",303
CC du Pays Haut Val d'Alzette,68,460,183,711,68,420,175,663,s.s,106,298,571,97,192,s.s,1374
"CC du Pays Houdanais (C,C,P,H,)",77,237,130,444,67,283,151,501,s.s,169,220,287,30,52,s.s,945
CC du Pays Loudunais,92,317,160,569,85,345,169,599,s.s,72,219,584,74,154,s.s,1168
CC du Pays Morcenais,31,125,77,233,35,148,77,260,s.s,40,107,213,36,64,s.s,493
CC du Pays Mornantais (Copamo),55,224,132,411,68,252,115,435,167,151,189,272,28,39,",",846
CC du Pays Noyonnais,215,670,307,1192,181,713,265,1159,s.s,165,433,1051,207,395,s.s,2351
CC du Pays Orne Moselle,214,880,424,1518,178,876,487,1541,200,250,584,1494,175,345,11,3059
CC du Pays Rhénan,95,270,233,598,74,346,238,658,s.s,114,199,601,79,126,s.s,1256
CC du Pays Ribéracois,66,234,134,434,53,230,141,424,s.s,88,179,363,66,90,s.s,858
CC du Pays Rignacois,13,41,29,83,10,50,26,86,s.s,24,28,84,s.s,s.s,s.s,169
CC du Pays Riolais,31,110,50,191,29,123,68,220,42,61,91,172,24,21,",",411
CC du Pays Rochois,41,326,147,514,53,327,139,519,s.s,155,215,365,42,94,s.s,1033
CC du Pays Roussillonnais,237,692,297,1226,198,898,372,1468,176,263,532,1032,206,470,15,2694
CC du Pays Réthelois,95,370,196,661,92,368,158,618,s.s,112,230,623,84,166,s.s,1279
CC du Pays Solesmois,68,285,127,480,72,275,132,479,s.s,70,205,449,49,128,s.s,959
CC du Pays Tarusate,74,214,117,405,37,237,125,399,s.s,83,162,391,47,78,s.s,804
CC du Pays Viganais,55,275,169,499,35,194,108,337,s.s,84,200,300,76,77,s.s,836
CC du Pays d'Alésia et de la Seine,27,85,48,160,34,72,49,155,s.s,21,55,158,16,40,s.s,315
CC du Pays d'Ancenis,174,634,283,1091,150,746,279,1175,s.s,278,493,954,105,190,s.s,2266
CC du Pays d'Etain,28,95,53,176,30,93,48,171,s.s,30,59,187,33,24,s.s,347
CC du Pays d'Iroise,141,409,227,777,87,448,310,845,290,224,377,587,47,79,18,1622
CC du Pays d'Issoudun,129,345,156,630,89,229,147,465,s.s,82,217,541,90,107,s.s,1095
CC du Pays d'Olmes,79,304,207,590,53,268,210,531,s.s,82,224,521,103,134,s.s,1121
CC du Pays d'Oloron et des Vallées du Haut Béarn,112,403,226,741,93,366,265,724,s.s,148,312,684,77,98,s.s,1465
CC du Pays d'Othe Aixois,37,125,69,231,23,119,76,218,34,25,74,210,44,62,",",449
CC du Pays d'Urfé,s.s,42,s.s,85,12,30,31,73,s.s,21,26,75,s.s,19,s.s,158
CC du Pays d'Uzerche,24,74,61,159,19,78,42,139,s.s,28,58,143,s.s,31,s.s,298
CC du Pays d'huriel,29,83,61,173,12,86,54,152,s.s,34,55,175,18,18,s.s,325
CC du Pays d'héricourt,83,272,155,510,72,298,157,527,s.s,91,207,483,78,113,s.s,1037
CC du Pays de Barr,83,253,136,472,46,274,127,447,s.s,104,171,403,52,81,s.s,919
CC du Pays de Bitche,107,336,356,799,93,330,278,701,s.s,128,275,681,98,221,s.s,1500
CC du Pays de Bray,93,246,136,475,69,286,149,504,s.s,88,208,454,92,88,s.s,979
CC du Pays de Bâgé et de Pont-De-Vaux,59,197,89,345,55,234,113,402,s.s,82,158,332,43,63,s.s,747
"CC du Pays de Chalindrey, de Vannier Amance et de la Région de Bourbonne-Les-Bains",62,149,98,309,40,156,117,313,s.s,43,110,308,63,69,s.s,622
CC du Pays de Château-Gontier,106,256,128,490,76,282,139,497,s.s,84,172,440,89,115,s.s,987
CC du Pays de Châteaugiron,59,215,79,353,51,208,84,343,s.s,108,173,201,21,42,s.s,696
CC du Pays de Colombey et du Sud Toulois,45,102,62,209,30,134,60,224,s.s,48,92,192,31,38,s.s,433
CC du Pays de Conches,97,284,131,512,60,238,118,416,s.s,87,163,459,80,76,s.s,928
CC du Pays de Craon,74,217,124,415,50,235,100,385,s.s,60,179,355,72,79,s.s,800
CC du Pays de Cruseilles,28,177,84,289,30,188,64,282,s.s,92,112,191,11,28,s.s,571
CC du Pays de Dol et de la Baie du Mont Saint-Michel,63,248,156,467,68,282,144,494,s.s,100,191,404,77,104,s.s,961
CC du Pays de Duras,12,63,36,111,18,64,47,129,s.s,27,52,85,17,36,s.s,240
CC du Pays de Falaise,131,362,185,678,107,344,150,601,s.s,84,251,572,99,196,s.s,1279
CC du Pays de Fayence,146,407,247,800,107,402,255,764,s.s,195,378,594,99,126,s.s,1564
CC du Pays de Fénelon,31,127,91,249,46,133,90,269,s.s,63,107,231,35,38,s.s,518
CC du Pays de Gex,180,1376,568,2124,134,1443,400,1977,1084,548,781,1204,186,270,28,4101
CC du Pays de Honfleur-Beuzeville,153,450,199,802,132,474,214,820,s.s,144,303,704,152,187,s.s,1622
CC du Pays de Lalbenque-Limogne,23,122,83,228,15,113,93,221,s.s,64,110,157,28,20,s.s,449
CC du Pays de Lamastre,21,79,60,160,10,96,57,163,s.s,35,71,135,15,28,s.s,323
CC du Pays de Landerneau-Daoulas,159,477,247,883,119,546,234,899,s.s,263,417,700,56,79,s.s,1782
CC du Pays de Landivisiau,97,371,160,628,118,435,171,724,s.s,152,342,611,81,64,s.s,1352
CC du Pays de Lanouaille,33,145,75,253,21,127,105,253,s.s,44,110,208,41,45,s.s,506
CC du Pays de Lapalisse,27,106,78,211,26,97,66,189,s.s,28,74,204,35,38,s.s,400
CC du Pays de Lauzun,28,123,67,218,23,112,87,222,29,39,77,216,28,51,",",440
CC du Pays de Limours (Ccpl),50,189,113,352,33,176,90,299,s.s,107,149,171,20,29,s.s,651
CC du Pays de Loiron,41,109,52,202,34,129,46,209,44,56,93,161,22,35,",",411
CC du Pays de Lubersac-Pompadour,17,61,44,122,23,67,42,132,s.s,23,52,102,20,34,s.s,254
CC du Pays de Lumbres,91,270,125,486,98,317,111,526,s.s,95,254,451,51,95,s.s,1012
CC du Pays de Lunel,325,1345,636,2306,250,1191,518,1959,340,389,907,1618,344,632,35,4265
CC du Pays de Lure,99,307,166,572,83,269,163,515,s.s,85,179,487,92,185,s.s,1087
CC du Pays de Luxeuil,48,257,132,437,43,246,113,402,s.s,65,147,400,74,113,s.s,839
CC du Pays de Mauriac,27,68,36,131,11,54,36,101,s.s,14,31,132,25,15,s.s,232
CC du Pays de Maîche,26,233,137,396,37,240,113,390,s.s,52,162,361,75,86,s.s,786
CC du Pays de Meslay-Grez,24,126,52,202,26,131,59,216,s.s,34,85,189,40,36,s.s,418
CC du Pays de Mirepoix,45,171,108,324,38,204,109,351,s.s,73,147,268,56,47,s.s,675
CC du Pays de Montbozon et du Chanois,15,56,28,99,17,60,33,110,s.s,20,41,100,16,16,s.s,209
CC du Pays de Montfaucon,16,61,56,133,16,71,38,125,s.s,24,52,120,19,28,s.s,258
CC du Pays de Montmédy,17,75,52,144,18,75,43,136,s.s,17,54,136,20,31,s.s,280
CC du Pays de Mormal,215,772,324,1311,212,736,309,1257,s.s,211,541,1128,168,328,s.s,2568
CC du Pays de Mortagne,69,176,82,327,51,206,117,374,s.s,85,174,275,39,61,s.s,701
CC du Pays de Niederbronn-Les-Bains,75,259,156,490,75,231,132,438,s.s,70,138,498,69,107,s.s,928
CC du Pays de Phalsbourg,57,132,84,273,41,168,107,316,s.s,48,120,275,47,57,s.s,589
CC du Pays de Pierrefontaine - Vercel,60,201,97,358,51,255,103,409,s.s,89,151,341,45,74,s.s,767
CC du Pays de Pontchâteau St Gildas des Bois,96,320,130,546,122,384,156,662,88,125,289,581,62,47,16,1208
CC du Pays de Pouzauges,55,155,90,300,72,219,84,375,s.s,69,120,320,45,54,s.s,675
CC du Pays de Redon,228,825,483,1536,231,809,440,1480,286,315,611,1365,206,211,22,3016
CC du Pays de Revigny Sur Ornain,35,72,54,161,16,84,41,141,s.s,19,65,131,24,49,s.s,302
CC du Pays de Ribeauvillé,36,156,82,274,42,185,94,321,s.s,85,112,249,33,45,s.s,595
"CC du Pays de Rouffach, Vignobles et Châteaux",41,99,57,197,28,97,57,182,s.s,48,73,169,17,25,s.s,379
CC du Pays de Saint Aulaye,21,92,53,166,31,108,54,193,19,24,67,177,32,40,",",359
CC du Pays de Saint Yrieix,44,150,73,267,31,130,72,233,43,48,108,214,37,50,",",500
CC du Pays de Saint-Eloy,37,170,125,332,42,155,108,305,s.s,56,113,319,44,60,s.s,637
CC du Pays de Saint-Fulgent - les Essarts,53,202,83,338,53,194,99,346,s.s,92,152,306,37,59,s.s,684
CC du Pays de Sainte-Odile,43,211,89,343,56,239,81,376,s.s,74,143,308,40,69,s.s,719
CC du Pays de Salars,11,60,36,107,18,56,30,104,s.s,35,43,85,12,12,s.s,211
CC du Pays de Salers,13,59,56,128,10,66,57,133,s.s,20,49,132,20,17,s.s,261
CC du Pays de Sancey-Belleherbe,13,38,36,87,11,38,27,76,18,10,35,73,10,17,",",163
CC du Pays de Serres en Quercy,28,144,68,240,31,153,69,253,s.s,42,98,208,43,59,s.s,493
CC du Pays de Sommières,114,393,200,707,73,423,219,715,s.s,185,318,563,84,100,s.s,1422
CC du Pays de St Gilles-Croix-De-Vie,185,637,371,1193,158,675,494,1327,193,285,595,1104,149,182,12,2520
CC du Pays de Stenay et du Val Dunois,47,141,79,267,30,121,72,223,s.s,30,82,257,42,55,s.s,490
CC du Pays de Tarascon,36,133,73,242,29,124,97,250,s.s,45,104,226,34,39,s.s,492
CC du Pays de Thelle et Ruraloise,253,719,351,1323,195,803,320,1318,s.s,305,615,1133,193,180,s.s,2641
CC du Pays de Trie et du Magnoac,22,67,44,133,19,76,29,124,s.s,24,52,115,21,22,s.s,257
CC du Pays de Tronçais,25,104,91,220,14,79,65,158,22,42,63,185,27,39,",",378
CC du Pays de Valois,208,653,320,1181,139,695,322,1156,230,269,512,901,171,239,15,2337
CC du Pays de Villeneuve en Armagnac Landais,26,52,45,123,17,63,52,132,22,27,51,107,16,32,",",255
CC du Pays de Villersexel,23,90,65,178,20,85,50,155,16,28,54,158,25,52,",",333
CC du Pays de Wissembourg,56,177,150,383,50,181,132,363,s.s,64,124,339,52,109,s.s,746
CC du Pays de l'Arbresle (Ccpa),128,343,176,647,84,362,192,638,s.s,222,267,425,62,89,s.s,1285
CC du Pays de l'Ourcq,80,283,138,501,73,247,102,422,s.s,61,199,414,81,112,s.s,923
CC du Pays de l'Ozon,67,237,113,417,47,256,97,400,s.s,125,153,299,32,59,s.s,817
CC du Pays de l'huisne Sarthoise,111,315,144,570,88,353,156,597,s.s,88,223,520,104,143,s.s,1167
CC du Pays de la Châtaigneraie,34,142,95,271,35,163,88,286,s.s,57,104,265,41,50,s.s,557
CC du Pays de la Serre,76,267,144,487,70,254,108,432,s.s,55,166,414,100,148,s.s,919
CC du Pays de la Zorn,45,112,56,213,28,129,74,231,s.s,60,88,209,22,22,s.s,444
CC du Pays des Abers,107,393,183,683,85,490,225,800,s.s,199,357,610,57,64,s.s,1483
CC du Pays des Achards,53,190,96,339,42,203,110,355,s.s,83,159,318,32,57,s.s,694
CC du Pays des Ecrins,16,90,37,143,21,67,24,112,s.s,38,70,64,18,26,s.s,255
CC du Pays des Herbiers,65,246,92,403,77,284,126,487,s.s,103,204,354,66,90,s.s,890
CC du Pays des Lacs,23,80,34,137,12,83,36,131,22,47,66,104,15,14,",",268
CC du Pays des Paillons,100,348,177,625,78,352,177,607,s.s,130,265,524,92,95,s.s,1232
CC du Pays des Sorgues et des Monts de Vaucluse,138,631,297,1066,140,635,307,1082,s.s,250,454,818,144,234,s.s,2148
CC du Pays des Sources,91,253,127,471,59,272,123,454,s.s,113,211,390,76,76,s.s,925
CC du Pays des Trois Rivières,173,576,209,958,164,467,182,813,s.s,99,279,862,192,289,s.s,1771
CC du Pays du Coquelicot,123,394,234,751,116,424,175,715,s.s,125,287,715,116,144,s.s,1466
CC du Pays du Neubourg,70,180,108,358,62,213,105,380,s.s,44,162,347,65,77,s.s,738
CC du Pays du Saintois,32,146,62,240,39,128,72,239,s.s,53,107,225,26,33,s.s,479
CC du Pays du Sanon,23,60,33,116,15,53,25,93,s.s,21,61,92,19,s.s,s.s,209
CC du Pays du Vermandois,195,558,251,1004,135,527,237,899,s.s,125,336,899,200,269,s.s,1903
CC du Perche,81,271,141,493,87,260,127,474,s.s,85,164,432,99,118,s.s,967
CC du Perche et Haut Vendômois,26,78,75,179,21,90,47,158,s.s,29,62,153,26,37,s.s,337
CC du Pilat Rhodanien,46,159,95,300,46,178,109,333,77,74,128,275,36,43,",",633
CC du Pithiverais,117,408,206,731,132,470,206,808,s.s,121,288,631,132,286,s.s,1539
CC du Pithiverais-Gâtinais,114,300,174,588,81,351,179,611,s.s,106,244,506,116,166,s.s,1199
CC du Piémont Cévenol,103,416,208,727,76,389,204,669,s.s,151,315,560,90,118,s.s,1396
CC du Plateau Picard,167,411,183,761,144,407,151,702,68,102,294,688,139,162,10,1463
CC du Plateau d'hauteville,11,66,27,104,12,38,27,77,s.s,15,43,80,11,15,s.s,181
CC du Plateau de Frasne et du Val de Drugeon (Cfd),s.s,63,s.s,103,10,54,29,93,s.s,16,44,94,11,17,s.s,196
CC du Plateau de Lannemezan,59,232,128,419,44,223,148,415,s.s,87,193,378,37,64,s.s,834
CC du Plateau de Montbazens,11,47,20,78,15,61,16,92,22,24,44,60,s.s,11,s.s,170
CC du Plateau de Russey,11,62,55,128,14,71,31,116,s.s,20,34,123,21,24,s.s,244
CC du Pont du Gard,111,427,232,770,95,470,249,814,s.s,178,338,656,98,157,s.s,1584
CC du Provinois,144,500,235,879,137,516,225,878,s.s,169,401,736,122,198,s.s,1757
CC du Périgord Nontronnais,39,153,105,297,35,147,92,274,s.s,53,120,250,40,59,s.s,571
CC du Quercy Blanc,21,99,77,197,12,80,63,155,s.s,40,76,156,23,27,s.s,352
CC du Quercy Caussadais,105,347,155,607,106,385,153,644,s.s,101,244,537,102,184,s.s,1251
CC du Quercy Rouergue et des Gorges de l'Aveyron,30,126,77,233,22,148,57,227,s.s,54,116,175,26,34,s.s,460
CC du Rhône Aux Gorges de l'Ardèche,111,343,192,646,97,389,229,715,s.s,126,278,567,116,171,s.s,1361
CC du Ried de Marckolsheim,66,197,110,373,60,225,138,423,s.s,67,151,400,57,80,s.s,796
CC du Romorantinais et du Monestois,125,496,265,886,118,444,238,800,s.s,125,243,801,157,282,s.s,1686
CC du Rouillacais,32,133,53,218,35,121,69,225,29,47,78,209,39,41,",",443
CC du Royans-Vercors,26,121,57,204,19,121,65,205,s.s,35,86,182,28,29,s.s,409
CC du Réolais en Sud Gironde,103,420,206,729,99,421,199,719,s.s,121,273,654,101,185,s.s,1448
CC du Réquistanais,13,35,14,62,s.s,34,s.s,63,13,16,21,55,12,s.s,s.s,125
CC du Sammiellois,37,144,83,264,37,117,87,241,s.s,23,91,254,51,67,s.s,505
CC du Sartenais Valinco,68,253,134,455,65,320,147,532,s.s,83,201,313,85,227,s.s,987
CC du Saulnois,97,303,190,590,74,279,148,501,s.s,83,242,521,76,98,s.s,1091
CC du Saves,22,62,44,128,24,106,60,190,s.s,43,65,140,16,15,s.s,318
CC du Secteur de Saint Loubes,102,344,151,597,90,394,156,640,s.s,166,296,448,68,100,s.s,1237
CC du Seignanx,96,370,154,620,81,405,171,657,s.s,187,298,496,58,59,s.s,1277
CC du Serein,17,65,56,138,22,66,28,116,22,22,62,120,s.s,19,s.s,254
CC du Sisteronais-Buëch,123,458,216,797,82,427,233,742,s.s,129,352,647,113,163,s.s,1539
CC du Sor et de l'Agout,92,257,145,494,73,273,150,496,s.s,121,223,440,55,55,s.s,990
CC du Sud Avesnois,237,729,323,1289,190,656,254,1100,s.s,110,428,1238,205,349,s.s,2389
CC du Sud Corse,208,778,282,1268,183,949,336,1468,212,271,663,906,247,418,19,2736
CC du Sud Est du Pays Manceau,44,136,58,238,44,144,79,267,s.s,56,124,213,27,33,s.s,505
CC du Sud Estuaire,91,365,157,613,105,358,176,639,s.s,152,301,542,64,58,s.s,1252
CC du Sud Gironde,162,732,299,1193,155,774,353,1282,s.s,255,450,1039,182,350,s.s,2475
CC du Sud Grésivaudan,176,486,303,965,132,566,253,951,202,208,408,770,139,178,11,1916
CC du Sud Marnais,23,91,37,151,23,102,45,170,s.s,24,41,175,19,45,s.s,321
CC du Sud Messin,50,138,59,247,30,152,69,251,s.s,73,115,224,20,26,s.s,498
CC du Sud Territoire,79,363,179,621,92,334,219,645,s.s,94,232,608,92,145,s.s,1266
CC du Sud-Artois,114,301,169,584,94,348,136,578,s.s,90,255,554,78,120,s.s,1162
CC du Ternois,196,570,256,1022,188,480,204,872,74,139,430,874,136,225,16,1894
CC du Terrassonnais en Périgord Noir Thenon Hautefort,74,297,190,561,73,330,188,591,s.s,96,246,548,73,112,s.s,1152
CC du Territoire Nord Picardie,165,546,286,997,122,510,207,839,107,148,334,856,154,226,11,1836
CC du Territoire de Beaurepaire,55,183,127,365,44,231,124,399,s.s,56,131,326,74,132,s.s,764
CC du Territoire de Fresnes en Woëvre,17,38,29,84,14,52,29,95,12,17,47,80,10,13,",",179
CC du Territoire de Lunéville À Baccarat,194,782,398,1374,197,627,309,1133,s.s,167,491,1199,210,331,s.s,2507
CC du Thouarsais,135,446,235,816,114,427,235,776,s.s,110,277,792,95,236,s.s,1592
CC du Triangle Vert,28,111,75,214,26,113,72,211,s.s,48,82,213,23,39,s.s,425
CC du Trièves,23,135,57,215,13,122,56,191,s.s,56,112,128,14,11,s.s,406
CC du Val D Amboise,106,416,204,726,113,445,238,796,s.s,159,302,676,74,159,s.s,1522
CC du Val Marnaysien,43,127,68,238,19,126,61,206,s.s,51,88,211,25,40,s.s,444
CC du Val d'Amour,21,69,41,131,18,77,39,134,s.s,26,53,115,21,23,s.s,265
CC du Val d'Argent,46,165,82,293,41,117,66,224,s.s,36,104,221,43,81,s.s,517
CC du Val d'Ay,11,60,35,106,15,67,25,107,19,25,48,91,17,13,",",213
CC du Val d'Essonne (Ccve),164,523,255,942,124,579,227,930,288,275,458,626,91,118,16,1872
CC du Val d'Ille-Aubigné,94,345,138,577,87,377,115,579,194,172,270,395,58,55,12,1156
CC du Val d'Orne,12,61,43,116,s.s,63,s.s,112,17,15,37,112,s.s,34,s.s,228
CC du Val de Bouzanne,21,65,45,131,16,53,39,108,s.s,27,44,119,19,17,s.s,239
CC du Val de Cher,21,68,54,143,15,54,31,100,17,21,51,123,11,20,",",243
CC du Val de Drôme,137,472,251,860,93,502,244,839,s.s,229,333,635,92,216,s.s,1699
CC du Val de Morteau,33,273,190,496,36,283,152,471,s.s,113,166,376,69,138,s.s,967
CC du Val de Sarthe,81,218,120,419,83,232,127,442,s.s,94,194,398,59,66,s.s,861
CC du Val de Somme,115,292,167,574,70,272,131,473,s.s,88,220,452,101,117,s.s,1047
CC du Val de Sully,97,294,133,524,90,314,155,559,s.s,95,182,495,85,161,s.s,1083
CC du Val de Vienne,37,138,64,239,26,114,57,197,s.s,52,103,171,29,34,s.s,436
CC du Val de l'Aisne,93,291,191,575,69,305,160,534,s.s,84,226,507,106,126,s.s,1109
CC du Val de l'Eyre,61,279,118,458,61,321,128,510,102,133,232,392,53,56,",",968
CC du Val de l'Oise,82,254,146,482,66,249,102,417,s.s,54,156,443,74,139,s.s,899
CC du Vallespir,99,453,231,783,91,422,257,770,s.s,125,364,720,107,116,s.s,1553
CC du Vexin Normand,184,471,221,876,142,530,235,907,s.s,150,379,762,148,222,s.s,1783
CC du Vexin-Thelle,93,235,102,430,61,244,118,423,s.s,90,200,355,63,73,s.s,853
CC du Vexin-Val de Seine,66,246,118,430,57,218,118,393,s.s,93,180,340,55,56,s.s,823
CC du Vimeu,114,311,153,578,97,346,130,573,s.s,92,210,560,106,145,s.s,1151
CC du Volvestre,125,363,236,724,91,434,225,750,s.s,170,339,607,97,108,s.s,1474
CC du Warndt,92,362,144,598,72,305,153,530,s.s,69,247,517,84,156,s.s,1128
CC l'Orée de la Brie,60,300,140,500,84,278,118,480,s.s,142,238,303,63,97,s.s,980
CC la Clayette Chauffailles en Brionnais,38,132,99,269,24,127,105,256,s.s,43,104,236,45,64,s.s,525
CC la Domitienne,162,478,251,891,132,563,272,967,s.s,187,410,887,131,119,s.s,1858
CC la Grandvallière,22,69,24,115,12,55,32,99,s.s,24,45,82,15,21,s.s,214
CC la Rochefoucauld - Porte du Périgord,54,247,159,460,59,241,140,440,s.s,76,172,459,55,68,s.s,900
CC la Septaine,37,103,53,193,30,126,54,210,26,43,78,200,23,33,",",403
CC le Dourdannais en Hurepoix (Ccdh),80,262,123,465,60,256,125,441,122,138,187,314,56,79,10,906
CC le Dunois,21,93,60,174,17,88,47,152,s.s,20,59,169,28,35,s.s,326
CC le Gesnois Bilurien,84,281,149,514,85,328,152,565,s.s,92,213,547,73,98,s.s,1079
CC le Grand Charolais,121,423,289,833,110,428,269,807,s.s,116,297,775,115,225,s.s,1640
CC le Grésivaudan,290,931,482,1703,173,987,498,1658,s.s,497,655,1093,136,206,s.s,3361
CC le Tonnerrois en Bourgogne,64,214,143,421,49,203,120,372,s.s,52,107,390,89,115,s.s,793
CC les Avant-Monts,163,442,244,849,112,488,273,873,s.s,156,395,781,119,123,s.s,1722
CC les Balcons du Dauphiné,289,758,363,1410,219,961,452,1632,262,355,678,1296,197,238,16,3042
CC les Portes Briardes Entre Villes et Forêts,147,521,278,946,94,514,227,835,249,236,427,538,99,217,15,1781
CC les Portes de l'Ile de France,93,310,144,547,64,297,149,510,s.s,125,224,418,79,101,s.s,1057
CC les Trois Provinces,17,78,64,159,17,65,44,126,s.s,22,43,148,31,33,s.s,285
CC les Vals du Dauphiné,221,732,334,1287,192,822,337,1351,s.s,260,559,1119,195,269,s.s,2638
CC les Versants d'Aime,22,96,38,156,16,79,45,140,s.s,37,74,102,16,30,s.s,296
CC les Villages de la Forêt,19,66,35,120,18,61,38,117,s.s,22,58,94,13,27,s.s,237
CU Angers Loire Métropole,1363,5456,2037,8856,1350,5562,2066,8978,2467,1892,3400,6145,1297,2544,89,17834
CU Caen la Mer,1319,5469,1822,8610,1156,4572,1487,7215,2148,1559,3099,5864,950,2114,91,15825
CU Clermont Auvergne Métropole,1124,4999,1697,7820,964,4730,1741,7435,2337,1636,3213,5402,927,1661,79,15255
CU Grand Paris Seine et Oise,1662,8363,3189,13214,1378,7964,2780,12122,3203,2966,5362,8090,1615,3990,110,25336
CU Orléans Métropole,1051,4941,1863,7855,1131,5031,1637,7799,2126,1767,3298,5024,1090,2251,98,15654
CU Perpignan Méditerranée Métropole,1758,6884,3255,11897,1447,6131,2820,10398,1953,2077,4955,9145,1725,2333,107,22295
CU Saint-Etienne Métropole,1828,7412,3332,12572,1608,6617,2879,11104,2266,1945,5001,9606,1392,3344,122,23676
CU Tour(S) Plus,1377,5453,2043,8873,1312,5364,1802,8478,2761,2035,3753,5850,1039,1839,74,17351
CU d'Alençon,249,909,385,1543,227,798,297,1322,s.s,236,554,1290,200,391,s.s,2865
CU d'Arras,503,2166,797,3466,420,1720,681,2821,622,648,1251,2642,406,686,32,6287
CU de Dunkerque,1263,4634,1721,7618,1075,4153,1579,6807,937,1158,3007,6494,1051,1707,71,14425
CU du Grand Dijon,1014,4583,1638,7235,893,4103,1500,6496,2077,1562,2778,4658,830,1760,66,13731
CU du Grand Reims,1308,5540,1929,8777,951,4719,1757,7427,1969,1630,3277,6038,1201,2012,77,16204
CU le Creusot Montceau-Lès-Mines,373,1486,728,2587,317,1258,740,2315,297,402,975,2306,354,552,16,4902
CU le Mans Métropole,1182,4189,1622,6993,1055,4342,1471,6868,1355,1243,2730,5336,1039,2112,46,13861
