lib_epci,hommes_moins_de_25_ans,hommes_25_a_49_ans,hommes_plus_de_50_ans,total_hommes,femmes_moins_de_25_ans,femmes_25_a_49_ans,femmes_plus_de_50_ans,total_femmes,diplome_niv_1_2,diplome_niv_3,diplome_niv_4,diplome_niv_5,diplome_niv_5_bis,diplome_niv_6,diplome_indetermine,total_categorie_a
CC du Canton d'Oulchy le Château,25,83,55,163,17,84,40,141,17,32,53,148,20,34,",",304
CC du Canton de Charly Sur Marne,67,236,91,394,55,234,99,388,s.s,68,161,363,67,82,s.s,782
CC du Canton de Criquetot-l'esneval,53,111,84,248,59,163,100,322,s.s,57,146,228,30,52,s.s,570
CC du Canton de Marcigny,12,54,42,108,12,60,40,112,11,25,37,98,15,34,",",220
CC du Canton de Pierre de Bresse,13,58,45,116,15,68,36,119,17,11,41,126,17,23,",",235
CC du Canton de Rumilly,92,342,111,545,81,307,120,508,s.s,129,217,387,79,113,s.s,1053
CC du Canton de Semur en Brionnais,s.s,27,s.s,69,s.s,48,s.s,98,s.s,17,31,70,s.s,16,s.s,167
CC du Canton de Vatan et de Champagne Berrichonne,36,108,62,206,23,88,50,161,24,30,79,190,21,23,",",367
CC du Canton de la Chambre,22,68,25,115,14,69,45,128,29,28,49,111,s.s,18,s.s,243
CC du Cap Corse,27,107,75,209,27,147,61,235,s.s,47,117,159,27,35,s.s,444
CC du Castelrenaudais,68,210,120,398,66,209,121,396,s.s,74,149,360,56,97,s.s,794
CC du Caudrésis et du Catésis,427,1683,713,2823,424,1480,586,2490,158,284,990,2573,448,845,15,5313
CC du Causse de Labastide Murat,15,40,23,78,s.s,41,s.s,86,20,20,43,62,s.s,10,s.s,164
"CC du Cellois, Coeur du Poitou, Mellois et du Val de Boutonne",154,524,234,912,98,413,246,757,s.s,167,337,804,87,136,s.s,1669
CC du Centre Corse,39,110,61,210,40,128,65,233,s.s,27,97,109,55,46,s.s,443
CC du Centre du Haut-Rhin,54,158,95,307,42,142,73,257,s.s,51,109,263,45,47,s.s,564
CC du Chaourçois et du Val d'Armance,29,139,73,241,31,131,88,250,s.s,35,78,244,40,67,s.s,491
