Code EPCI,Libellé EPCI,Catégorie A,Catégorie B,Catégorie C,Catégorie D,Catégorie E
200043982.0,CC du Bazadais,781,226,369,81,74
200043990.0,CC Vallons de Haute-Bretagne Communauté,1524,501,1106,183,233
200044014.0,CC Creuse Grand Sud,617,172,227,64,85
200044030.0,CC des Sept Vallées,1329,292,614,206,179
200044048.0,CC Osartis Marquion,1630,350,1147,199,206
200044253.0,CC du Bassin de Joinville en Champagne,582,146,280,39,98
200044394.0,CC du Réolais en Sud Gironde,1375,348,590,126,122
200044469.0,CC du Pays de Mirepoix,597,143,215,55,81
200044618.0,CA du Douaisis (C.A.D.),10195,1995,4763,1026,771
200044691.0,CA du Nord Grande Terre,7463,567,1044,488,240
200046977.0,Métropole de LYON,28816,7364,11588,2472,2846
200046977.0,Métropole de Lyon,48771,9824,19905,3863,5190
200048551.0,CC du Pays de Craon,821,209,621,129,137
200049187.0,CA du Grand Verdun,1569,247,533,238,198
200049211.0,CC Conflent-Canigó,1577,300,460,166,153
200049484.0,CC Berry Grand Sud,570,99,194,30,60
200054781.0,Métropole du Grand Paris,411008,82293,117676,23579,33048
200054807.0,Métropole d'Aix-Marseille-Provence,121919,23132,39655,10682,12011
200055481.0,CC Beauce Val de Loire,652,223,523,76,86
200055655.0,CA Roissy Pays de France,23066,3244,6699,1475,1328
200055887.0,CC Mayenne Communauté,1202,280,767,198,215
200056232.0,CA Communauté Paris-Saclay,12361,2168,4543,968,1255
200056380.0,CA Plaine Vallée,8665,1329,2721,615,957
200057859.0,CA Coeur d'Essonne Agglomération,8509,1507,3512,753,882
200057958.0,CA Paris - Vallée de la Marne,10934,1858,3797,868,960
200058360.0,CC Entre Beauce et Perche,696,193,407,86,74
200058477.0,CA Val d'Yerres Val de Seine,8212,1405,2864,633,648
200058485.0,CA Val Parisis,13030,2112,4121,888,1525
200058519.0,CA Saint-Germain Boucles de Seine,13784,2481,4118,934,1601
200058782.0,CA de Saint-Quentin-en-Yvelines,10600,1938,3685,878,857
200059228.0,CA Grand Paris Sud Seine Essonne Sénart,19045,3303,7198,1692,1482
200059392.0,CC Bièvre Isère,1974,564,1192,180,335
200059400.0,CC Porte Océane du Limousin,1019,299,552,117,119
200059889.0,CU Grand Paris Seine et Oise,25359,4080,8026,1607,1893
200060010.0,CA Mauges Communauté,3537,1158,3222,550,848
200065563.0,CC Normandie-Cabourg-Pays d'Auge,1442,344,647,106,152
200065589.0,CC Val ès Dunes,674,180,441,73,84
200065597.0,CU Caen la Mer,15283,3572,6589,1559,1488
200065647.0,CA Pays de Montbéliard Agglomération,7997,1382,3799,684,751
200065787.0,CC de Pont-Audemer / Val de Risle,1728,392,745,140,163
200065886.0,CA Loire Forez Agglomération,3811,1021,2484,388,612
200065894.0,CC de Forez-Est,1928,527,1320,226,351
200065928.0,CA Lannion-Trégor Communauté,4465,1127,1937,483,448
200066009.0,CA Mulhouse Alsace Agglomération,18359,3229,5772,1494,1132
200066017.0,CC Lieuvin Pays d'Auge,804,209,465,78,80
200066025.0,CC Pays Rhin - Brisach,1108,220,536,92,75
200066033.0,CC Sud Alsace Largue,874,198,331,93,69
200066041.0,CC Sundgau,1911,347,642,164,99
200066058.0,CA Saint-Louis Agglomération,4010,647,1192,241,168
200066108.0,CC des Portes de Meuse,574,124,391,70,100
200066116.0,CC Argonne-Meuse,264,46,96,21,66
200066124.0,CA Gaillac-Graulhet,3868,1005,1920,372,517
200066132.0,CC du Pays de Stenay et du Val Dunois,463,79,155,40,81
200066140.0,CC de l'Aire à l'Argonne,207,43,104,30,35
200066157.0,CC de Commercy - Void - Vaucouleurs,1156,234,486,161,158
200066165.0,CC Val de Meuse - Voie Sacrée,326,70,164,53,55
200066173.0,CC de Damvillers Spincourt,319,68,122,28,42
200066223.0,CC Arize Lèze,638,145,208,45,94
200066231.0,CC des Portes d'Ariège Pyrénées,2413,469,795,197,377
200066280.0,CC du Pithiverais,1397,343,860,123,112
200066322.0,CC Terres des Confluences,3318,648,1293,249,230
200066330.0,CC Terres du Haut Berry,934,199,527,114,122
200066348.0,CC du Minervois au Caroux,989,197,263,45,108
200066355.0,CA Sète Agglopôle Méditerranée,9008,1885,2839,741,965
200066363.0,CC de la Haute Ariège,362,105,192,23,39
200066371.0,CC Causses et Vallée de la Dordogne,2201,595,978,141,228
200066389.0,CA Saint-Lô Agglo,2631,836,1708,318,301
200066405.0,CC Roumois Seine,1230,330,920,109,123
200066413.0,CC Intercom Bernay Terres de Normandie,2632,634,1316,203,177
200066462.0,CC Interco Normandie Sud Eure,1765,447,880,121,176
200066512.0,CC Élan Limousin Avenir Nature,957,269,615,127,154
200066520.0,CC Ouest Limousin,387,129,219,33,46
200066553.0,CC des Monts de Lacaune et de la Montagne du Haut Languedoc,311,77,124,15,63
200066561.0,CC Sidobre Vals et Plateaux,569,138,237,55,117
200066587.0,CC des Monts du Lyonnais,914,298,631,117,224
200066603.0,CC du Pays de Lubersac-Pompadour,285,72,152,16,49
200066637.0,CC Hautes Terres Communauté,308,120,165,45,84
200066645.0,CC Vézère-Monédières-Millesources,148,41,75,15,34
200066652.0,CC Grand Sud Tarn et Garonne,2011,432,1183,249,253
200066660.0,CC Saint-Flour Communauté,617,169,302,97,173
200066678.0,CC de la Châtaigneraie Cantalienne,554,148,313,56,57
200066710.0,CC Cingal-Suisse Normande,934,302,604,94,79
200066728.0,CC Vallées de l'Orne et de l'Odon,699,227,557,86,105
200066744.0,CC Haute-Corrèze Communauté,1111,267,558,151,192
200066751.0,CC Xaintrie Val'Dordogne,403,103,177,33,73
200066769.0,CC Midi Corrézien,473,147,251,46,91
200066777.0,CC Ploërmel Communauté,1701,492,1100,210,119
200066785.0,CC de l'Oust à Brocéliande,1444,417,938,157,123
200066793.0,CA du Grand Annecy,8070,1920,4042,709,1118
200066801.0,CC Isigny-Omaha Intercom,990,298,516,99,123
200066819.0,CC du Volvestre,1426,343,739,125,251
200066827.0,CC du Pays de Honfleur-Beuzeville,1403,342,532,117,171
200066835.0,CC de Sézanne-Sud Ouest Marnais,928,250,457,96,99
200066850.0,CC des Paysages de la Champagne,688,219,435,71,114
