code_epci,lib_epci,hommes_moins_de_25_ans,hommes_25_a_49_ans,hommes_plus_de_50_ans,total_hommes,femmes_moins_de_25_ans,femmes_25_a_49_ans,femmes_plus_de_50_ans,total_femmes,diplome_niv_1_2,diplome_niv_3,diplome_niv_4,diplome_niv_5,diplome_niv_5_bis,diplome_niv_6,diplome_indetermine,total_categorie_a
200000172.0,CC Faucigny-Glières,124,580.0,226,930.0,127.0,696.0,289.0,1112.0,253,272.0,462.0,688.0,s.s,248,s.s,2042.0
200000438.0,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,200,654.0,213,1067.0,232.0,1051.0,364.0,1647.0,248,412.0,773.0,1092.0,106,s.s,s.s,2714.0
200000545.0,CC des Portes de Romilly-sur-Seine,163,633.0,294,1090.0,152.0,707.0,318.0,1177.0,s.s,164.0,449.0,1017.0,163,343,s.s,2267.0
200000628.0,CC Rhône Lez Provence,195,762.0,344,1301.0,189.0,831.0,435.0,1455.0,190,291.0,624.0,1116.0,s.s,374,s.s,2756.0
200000800.0,CC Coeur de Sologne,55,172.0,90,317.0,47.0,226.0,132.0,405.0,76,89.0,153.0,314.0,49,41,",",722.0
200000925.0,CC de la Plaine Dijonnaise,103,314.0,153,570.0,91.0,427.0,253.0,771.0,130,204.0,292.0,566.0,54,95,",",1341.0
200000933.0,CC Sauldre et Sologne,79,271.0,135,485.0,72.0,301.0,182.0,555.0,72,116.0,220.0,441.0,72,119,",",1040.0
200004802.0,CC du Pays de Fayence,152,546.0,294,992.0,148.0,639.0,393.0,1180.0,317,343.0,569.0,711.0,s.s,118,s.s,2172.0
200005932.0,CC des Portes de Sologne,76,254.0,106,436.0,64.0,297.0,144.0,505.0,155,150.0,232.0,308.0,s.s,57,s.s,941.0
200005957.0,CC de la Région de Rambervillers,97,269.0,167,533.0,96.0,266.0,200.0,562.0,s.s,97.0,289.0,465.0,86,96,s.s,1095.0
200006682.0,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",222,942.0,375,1539.0,243.0,1123.0,596.0,1962.0,480,475.0,781.0,1306.0,s.s,304,s.s,3501.0
200006716.0,CC du Nogentais,102,364.0,157,623.0,82.0,437.0,179.0,698.0,108,137.0,258.0,566.0,s.s,158,s.s,1321.0
200006930.0,CC du Haut-Allier,22,75.0,34,131.0,16.0,95.0,47.0,158.0,46,31.0,64.0,112.0,21,15,",",289.0
200006971.0,CC du Perche,129,392.0,211,732.0,111.0,496.0,238.0,845.0,134,175.0,315.0,689.0,s.s,141,s.s,1577.0
200007052.0,CC de la Marche Berrichonne,24,68.0,46,138.0,18.0,89.0,44.0,151.0,33,37.0,75.0,113.0,16,15,",",289.0
200007177.0,CC Pays de Nérondes,23,87.0,43,153.0,31.0,105.0,56.0,192.0,21,38.0,75.0,152.0,26,33,",",345.0
200010650.0,CA du Grand Dole,285,1068.0,422,1775.0,284.0,1236.0,581.0,2101.0,410,506.0,970.0,1536.0,s.s,291,s.s,3876.0
200010700.0,CA Caux Seine Agglo,634,1745.0,610,2989.0,587.0,2318.0,974.0,3879.0,444,751.0,1724.0,3091.0,s.s,495,s.s,6868.0
200011773.0,CA Annemasse-les Voirons-Agglomération,355,3058.0,1046,4459.0,375.0,2842.0,914.0,4131.0,1427,1191.0,1966.0,2720.0,419,859,8,8590.0
200011781.0,CC Portes du Berry entre Loire et Val d'Aubois,44,195.0,98,337.0,34.0,212.0,132.0,378.0,s.s,70.0,181.0,332.0,43,53,s.s,715.0
200012060.0,CC Petite Montagne,27,100.0,56,183.0,29.0,132.0,67.0,228.0,36,47.0,105.0,157.0,27,39,",",411.0
200013050.0,CC Sauer-Pechelbronn,61,238.0,127,426.0,79.0,296.0,185.0,560.0,67,103.0,219.0,473.0,s.s,85,s.s,986.0
200015162.0,CC de l'Oriente,21,130.0,56,207.0,25.0,140.0,59.0,224.0,42,40.0,101.0,133.0,30,85,",",431.0
200016905.0,CC du Pays de Lamastre,38,142.0,83,263.0,34.0,174.0,89.0,297.0,99,58.0,138.0,204.0,21,40,",",560.0
200017341.0,CC Lodévois et Larzac,104,473.0,277,854.0,106.0,562.0,258.0,926.0,269,252.0,482.0,585.0,81,111,",",1780.0
200017846.0,CA Étampois Sud-Essonne (CCESE),256,1168.0,490,1914.0,239.0,1245.0,463.0,1947.0,508,549.0,918.0,1207.0,242,428,9,3861.0
200018083.0,CC de Desvres-Samer,112,413.0,173,698.0,139.0,569.0,248.0,956.0,110,223.0,446.0,662.0,93,120,",",1654.0
200018166.0,CC Le Grésivaudan,384,1593.0,736,2713.0,315.0,1937.0,964.0,3216.0,1587,1014.0,1246.0,1648.0,192,236,6,5929.0
