lib_epci,anc_moins_3_mois,anc_3_a_5_mois,anc_6_a_11_mois,anc_12_a_23_mois,anc_24_a_35_mois,anc_plus_36_mois,total
CA Ecla (Espace Communautaire Lons Agglomération),665,430,410,499,224,245,2473
"CA Epernay, Coteaux et Plaine de Champagne",886,660,736,898,398,664,4242
CA Etampois Sud Essonne,911,717,745,715,313,459,3860
CA Evreux Portes de Normandie,2001,1592,1904,2100,1007,1726,10330
CA Flers Agglo,900,702,779,967,469,795,4612
CA Fougères Agglomération,848,737,711,818,374,619,4107
CA Fécamp Caux Littoral Agglomération,708,607,693,787,370,588,3753
CA Gap-Tallard-Durance,920,712,749,894,408,546,4229
CA Golfe du Morbihan - Vannes Agglomération,3066,2412,2447,2788,1302,1919,13934
CA Grand Auch Coeur de Gascogne,716,559,535,561,226,362,2959
CA Grand Belfort,1941,1464,1554,1901,830,1371,9061
CA Grand Lac- Communauté d'Agglomération du Lac du Bourget,1430,914,1003,1103,440,545,5435
CA Grand Montauban,1801,1336,1710,1797,841,1103,8588
CA Grand Paris Sud Seine Essonne Sénart,7176,5206,5937,6043,2401,3294,30057
CA Grand Sud Caraïbe,1910,1551,2089,2673,1312,4207,13742
CA Grand-Poitiers,3395,2687,2724,2965,1343,2148,15262
CA Guingamp-Paimpol Armor-Argoat Agglomération,1293,944,1063,1317,598,1077,6292
"CA Havraise (Co,D,A,H,)",5074,4063,4918,5379,2580,5148,27162
CA Hermitage-Tournonais-Herbasse-Pays de Saint Félicien,1025,917,931,1111,540,816,5340
CA Hérault-Méditerranée,2623,1658,1663,2209,996,1574,10723
CA Intercommunale de la Réunion Est (Cirest),3476,3269,3666,4416,2356,4875,22058
CA Intercommunale du Nord de la Réunion (Cinor),5639,5018,5802,6861,3267,7230,33817
CA Lannion-Trégor Communauté,1729,1237,1310,1563,738,1227,7804
CA Limoges Métropole,3641,3013,3026,3263,1684,2985,17612
CA Lisieux Normandie,1371,989,1108,1121,555,846,5990
CA Loire Forez,1568,1275,1446,1626,688,1059,7662
CA Lorient Agglomération,3858,3014,3291,3542,1736,3089,18530
CA Luberon Monts de Vaucluse,1418,991,1088,1385,662,1049,6593
CA Marne et Gondoire,1509,1220,1312,1335,570,792,6738
CA Maubeuge Val de Sambre,3139,2572,3122,3243,1481,2997,16554
CA Mauges Communauté,1593,1434,1405,1718,833,1355,8338
CA Melun Val de Seine,2707,1997,2405,2397,951,1326,11783
CA Metz Métropole,4378,3456,3979,4562,1825,3392,21592
CA Mont de Marsan Agglomération,985,828,854,883,401,588,4539
CA Mont-Saint-Michel-Normandie,1282,1000,914,1124,497,834,5651
"CA Montargoise et Rives du Loing (A,M,E,)",1426,1104,1177,1362,671,1245,6985
CA Montluçon Communauté,1071,888,997,1242,565,1279,6042
CA Montélimar Agglomération,1538,1129,1240,1374,666,928,6875
CA Morlaix Communauté,1098,874,954,1125,569,887,5507
CA Moulins Communauté,999,797,943,1130,500,1019,5388
CA Mulhouse Alsace Agglomération,5614,4393,5125,5995,2478,3934,27539
CA Mâconnais Beaujolais Agglomération,1468,1191,1344,1420,603,949,6975
CA Paris - Vallée de la Marne,3987,3117,3370,3403,1486,2109,17472
CA Pau Béarn Pyrénées,3103,2521,2789,2981,1250,2053,14697
CA Pays Foix-Varilhes,660,468,596,603,237,391,2955
CA Pays de Montbéliard Agglomération,2642,2027,2198,2633,1115,2193,12808
CA Plaine Vallée,3018,2254,2608,2686,1009,1645,13220
CA Pornic Agglo Pays de Retz,972,793,754,937,464,693,4613
"CA Porte de l'Isère (C,A,P,I)",2277,1839,1993,2081,927,1127,10244
CA Portes de France-Thionville,1350,1023,1288,1348,623,893,6525
CA Privas Centre Ardèche,846,654,684,814,392,512,3902
CA Provence-Alpes-Agglomération,1079,702,822,970,481,723,4777
CA Quimper Bretagne Occidentale,1884,1525,1617,1707,843,1415,8991
CA Rambouillet Territoires,897,703,722,851,347,509,4029
CA Roannais Agglomération,1846,1249,1504,1792,887,1514,8792
CA Rochefort Océan,1296,1102,1088,1274,616,1080,6456
CA Rodez Agglomération,825,736,686,814,322,488,3871
CA Roissy Pays de France,7472,5827,6591,7269,2690,4127,33976
CA Royan Atlantique,1962,1239,1255,1522,717,1010,7705
CA Saint Germain Boucles de Seine,4490,3445,3944,4406,1852,2910,21047
CA Saint-Brieuc Armor Agglomération,2783,2185,2401,2634,1215,2229,13447
CA Saint-Louis Agglomération,1263,895,1134,1307,566,634,5799
CA Saint-Lô Agglo,1144,987,978,1075,563,754,5501
CA Sarreguemines Confluences,1051,833,994,1244,548,926,5596
CA Saumur Val de Loire,1991,1535,1624,1983,968,2135,10236
CA Seine Eure,1314,1018,1194,1436,723,1318,7003
CA Seine Normandie Agglomération,1507,1162,1377,1524,651,1273,7494
CA Sud Sainte Baume,1228,873,782,1024,399,659,4965
CA Tarbes-Lourdes-Pyrénées,4131,1929,2134,2379,1006,1798,13377
CA Terre de Provence,1328,908,966,1235,484,775,5696
CA Territoire de la Côte Ouest (Tco),5924,5660,6538,8716,4811,10573,42222
CA Territoires Vendômois,877,674,700,911,441,769,4372
CA Thonon Agglomération,1766,1140,1166,1316,496,602,6486
CA Toulon Provence Méditerranée,9139,6638,6808,7928,3626,5323,39462
CA Troyes Champagne Métropole,3741,2865,3349,3995,1781,2880,18611
CA Tulle Agglo,695,529,549,621,272,458,3124
CA Val Parisis,4202,3405,3610,4125,1676,2782,19800
CA Val d'Europe Agglomération,482,372,425,433,183,257,2152
CA Val d'Yerres Val de Seine,2816,2199,2404,2539,982,1475,12415
CA Val de Garonne Agglomération,1207,870,933,1062,530,931,5533
CA Valence Romans Agglo,4611,3576,4023,4525,2089,3445,22269
CA Valenciennes Métropole,4340,3639,4051,4469,1953,3660,22112
CA Var Esterel Méditerranée (Cavem),3147,1881,1909,2495,889,1263,11584
CA Ventoux-Comtat-Venaissin (Cove),1735,1270,1382,1580,716,1279,7962
"CA Versailles Grand Parc (C,A,V,G,P,)",2959,2423,2554,2754,1105,1732,13527
CA Vichy Communauté,1421,1096,1252,1495,743,1566,7573
CA Viennagglo,1284,1046,1052,1137,455,623,5597
CA Villefranche Beaujolais Saône,1418,1115,1261,1259,587,880,6520
CA Vitré Communauté,1157,1035,1008,1218,550,746,5714
CA d'Agen,1845,1456,1599,1739,766,1259,8664
CA d'Arles-Crau-Camargue-Montagnette,2582,1618,1815,2241,918,1368,10542
CA d'Epinal,1922,1492,1749,1975,902,1733,9773
CA d'hénin-Carvin,2590,2075,2408,2973,1444,2574,14064
CA de Bar-Le-Duc - Sud Meuse,497,385,544,603,305,505,2839
CA de Bastia,1200,577,591,609,265,322,3564
CA de Blois ''agglopolys'',2157,1553,1619,1871,913,1479,9592
"CA de Béthune-Bruay, Artois-Lys Romane",4964,3901,4532,5069,2452,4769,25687
CA de Béziers-Méditerranée,3424,2534,2467,3111,1439,2198,15173
CA de Cambrai,1616,1332,1661,1872,843,1700,9024
CA de Castres Mazamet,1619,1237,1408,1467,620,1204,7555
CA de Cergy-Pontoise,4312,3265,3632,3979,1612,2437,19237
"CA de Chaumont, du Bassin Nogentais et du Bassin de Bologne Vignory Froncles",704,540,665,660,234,447,3250
CA de Châlons-En-Champagne,1340,1054,1276,1456,587,992,6705
CA de Forbach Porte de France,1559,1154,1416,1789,673,1366,7957
CA de Haguenau,1421,1029,1187,1511,745,1199,7092
CA de Laval,1674,1297,1287,1441,685,1043,7427
CA de Lens - Liévin,4944,3773,4445,5210,2552,5094,26018
CA de Longwy,945,707,916,1087,494,836,4985
CA de Nevers,1146,817,858,1012,408,682,4923
CA de Nîmes Métropole,6272,4916,4911,5900,2532,4644,29175
CA de Saint Quentin en Yvelines,3700,2942,3177,3548,1378,1832,16577
CA de Saint-Dizier Der et Blaise,1094,800,984,1180,537,1021,5616
CA de Saint-Dié-Des-Vosges,1225,961,1265,1561,826,1796,7634
CA de Saintes,1046,928,1014,1093,501,845,5427
CA de Sophia Antipolis,4359,2619,2659,3325,1451,2079,16492
CA de Vesoul,545,513,524,566,225,385,2758
CA de l'Albigeois (C2a),1615,1279,1260,1476,626,981,7237
CA de l'Auxerrois,1154,908,952,1087,449,913,5463
CA de l'Espace Sud de la Martinique,2834,2339,2926,3477,1425,3780,16781
CA de l'Ouest Rhodanien,709,614,662,709,356,559,3609
CA de la Baie de Somme,1102,736,899,928,497,923,5085
CA de la Porte du Hainaut,3382,2676,3359,3819,1824,3359,18419
CA de la Presqu'île de Guérande Atlantique (Cap Atlantique),1531,1003,1000,1260,599,833,6226
CA de la Provence Verte,1928,1589,1597,1913,850,1180,9057
CA de la Riviera Française,1869,1006,997,1258,517,682,6329
CA de la Rochelle,3617,2791,2856,3135,1475,2474,16348
CA de la Région Dieppoise,928,813,874,1013,499,1016,5143
CA de la Région Nazairienne et de l'Estuaire (Carene),2629,1909,2200,2436,1109,1986,12269
CA de la Région de Château-Thierry,1026,873,1018,1054,536,960,5467
CA de la Région de Compiègne et de la Basse Automne,1493,1138,1382,1622,747,1153,7535
CA des Deux Baies en Montreuillois,1327,902,943,1147,539,1030,5888
CA du Bassin d'Aurillac,732,565,601,693,329,512,3432
CA du Bassin de Bourg-En-Bresse,2099,1672,1826,1871,921,1158,9547
CA du Bassin de Brive,1885,1451,1547,1815,895,1447,9040
CA du Bassin de Thau,3141,2191,2386,2906,1364,2379,14367
CA du Beauvaisis,2103,1589,1799,2153,884,1613,10141
CA du Bocage Bressuirais,1105,927,999,1176,593,829,5629
CA du Boulonnais,2444,2005,2180,2607,1306,2302,12844
CA du Calaisis,2155,1786,2001,2568,1193,2411,12114
CA du Centre Littoral,3357,3097,3095,2728,1005,1557,14839
CA du Centre de la Martinique,3598,3119,3809,4284,1954,4908,21672
CA du Cotentin,2152,1708,1641,1930,936,1520,9887
"CA du Douaisis [c,A,D,]",3364,2690,3223,3602,1663,3407,17949
CA du Gard Rhodanien,1489,1189,1245,1457,691,1074,7145
CA du Grand Angoulême,2590,2374,2544,2913,1249,2391,14061
CA du Grand Annecy,3451,2447,2393,1824,705,811,11631
CA du Grand Avignon (Coga),4978,3772,3950,4458,2000,3304,22462
CA du Grand Besançon,3576,2730,2853,3386,1408,2127,16080
CA du Grand Cahors,859,668,673,852,376,655,4083
CA du Grand Cognac,1176,989,1116,1298,628,978,6185
CA du Grand Dax,1356,932,1002,1169,553,791,5803
CA du Grand Dole,889,694,765,822,369,590,4129
CA du Grand Guéret,472,397,418,407,179,361,2234
CA du Grand Sénonais,1132,850,967,1186,494,856,5485
CA du Grand Verdun,492,376,443,511,237,375,2434
CA du Grand Villeneuvois,1008,758,787,925,486,736,4700
CA du Libournais,1908,1525,1636,2011,925,1567,9572
CA du Niortais,2113,1561,1661,1951,912,1431,9629
CA du Nord Basse-Terre,1793,1505,2008,2421,1081,3034,11842
CA du Nord Grande Terre,1191,1162,1488,1879,1021,3358,10099
CA du Pays Ajaccien,1842,912,931,1018,366,513,5582
CA du Pays Basque,6679,4373,4484,5295,2391,3497,26719
CA du Pays Châtelleraudais,1397,1228,1310,1349,662,1194,7140
CA du Pays Nord Martinique,2557,2057,2562,2912,1178,3470,14736
CA du Pays Voironnais,1429,1112,1255,1303,552,741,6392
CA du Pays de Fontainebleau,946,733,773,826,333,555,4166
CA du Pays de Grasse,2248,1574,1628,1876,756,1023,9105
CA du Pays de Laon,813,755,854,1011,441,1089,4963
CA du Pays de Meaux,1971,1444,1706,1763,700,997,8581
CA du Pays de Quimperlé,926,705,773,898,489,695,4486
CA du Pays de Saint Malo - Saint Malo Agglomération,1784,1141,1312,1431,626,988,7282
CA du Pays de Saint-Omer,1830,1442,1612,2071,952,1880,9787
CA du Pays de l'Or,1293,907,952,1192,486,782,5612
CA du Puy-En-Velay,1327,1026,1104,1266,612,1016,6351
CA du Rabastinois - Tarn et Dadou - Vère Grésigne et Pays Salvagnacois,1423,1091,1278,1492,679,1104,7067
CA du Saint-Quentinois,1682,1477,1581,2037,937,2185,9899
CA du Sicoval,1120,1004,992,1146,508,780,5550
CA du Soissonnais,972,925,1092,1195,667,1328,6179
CA du Sud,3497,3820,3961,5549,2887,7459,27173
CA du Val de Fensch,1362,1061,1162,1532,634,1074,6825
CA la Riviéra du Levant,1612,1383,1758,2143,1096,3028,11020
CA la Roche Sur Yon - Agglomération,1783,1557,1543,1796,764,1411,8854
CA le Grand Chalon,1978,1609,1768,2008,1058,1689,10110
CA le Grand Narbonne,3290,2397,2350,3017,1383,2534,14971
CA le Grand Périgueux,1962,1494,1615,1723,821,1297,8912
CA le Muretain Agglo,2030,1760,1859,2172,1000,1604,10425
CA les Sables d'Olonne Agglomération,1018,721,742,861,448,806,4596
CC Adour Madiran,424,338,319,358,148,270,1857
CC Agglo Saint-Avold Centre Mosellan,982,741,933,1000,473,826,4955
CC Agly Fenouillèdes,109,94,95,152,69,141,660
CC Airvaudais-Val du Thouet,83,72,93,100,61,101,510
CC Albret Communauté,410,363,415,462,238,440,2328
CC Alpes d'Azur,149,123,131,160,75,95,733
"CC Alpes-Provence-Verdon ""sources de Lumière""",286,149,127,225,96,172,1055
CC Altitude 800,77,45,54,65,30,36,307
CC Ambert Livradois Forez,357,282,344,432,190,387,1992
CC Amognes Coeur du Nivernais,99,74,101,108,49,77,508
CC Andaine - Passais,217,110,146,176,87,107,843
CC Anjou Bleu Communauté,657,530,471,397,196,306,2557
CC Anjou Loir et Sarthe,432,354,356,463,231,485,2321
"CC Arbois, Poligny, Salins, Coeur du Jura",280,195,250,258,130,185,1298
CC Arc Sud Bretagne,440,357,368,432,230,313,2140
"CC Ardenne, Rives de Meuse",540,373,458,636,288,487,2782
CC Ardennes Thiérache,140,103,125,172,58,145,743
CC Ardèche Rhône Coiron,465,362,458,450,238,339,2312
CC Ardèche des Sources et Volcans,201,117,170,226,104,175,993
CC Argentan Intercom,517,418,468,469,227,345,2444
CC Argonne-Meuse,101,62,84,78,42,81,448
CC Arize Lèze,211,160,178,203,85,160,997
CC Armagnac Adour,91,68,88,106,51,59,463
CC Arnon Boischaut Cher,121,84,102,143,63,120,633
CC Artagnan de Fezensac,100,84,79,77,33,61,434
CC Arve et Salève,317,230,253,257,81,71,1209
CC Astarac Arros en Gascogne,96,71,95,97,38,60,457
CC Au Pays de la Roche Aux Fées,321,310,295,362,205,281,1774
CC Aubrac Lot Causse et Pays de Chanac,136,83,79,86,38,42,464
CC Aubrac et Carladez,94,59,53,76,36,54,372
CC Aunis Atlantique,496,423,411,509,221,344,2404
CC Aunis Sud,556,455,493,544,258,441,2747
CC Auray Quiberon Terre Atlantique,1912,1239,1279,1555,775,1196,7956
CC Aure Louron,161,111,131,160,83,106,752
CC Auxonne Pontailler Val de Saône,300,290,304,418,232,303,1847
CC Auzon Communauté,163,125,190,163,63,159,863
"CC Avallon, Vézelay, Morvan",332,231,241,315,124,160,1403
CC Aveyron Ségala Viaur,69,45,63,90,36,39,342
CC Avre Luce Noye,324,227,328,379,176,300,1734
CC Aygues-Ouvèze en Provence (Ccaop),344,309,282,400,160,236,1731
CC Bassée-Montois,330,249,270,280,122,218,1469
CC Bastides de Lomagne,123,106,113,142,70,106,660
CC Bastides et Vallons du Gers,92,82,89,89,49,81,482
CC Baugeois Vallée,527,410,479,542,260,563,2781
CC Bazois Loire Morvan,163,146,149,218,102,188,966
CC Beaucaire Terre d'Argence,984,723,733,932,432,655,4459
CC Beauce Val de Loire,300,215,235,314,144,275,1483
CC Beaujolais Pierres Dorées,612,488,499,513,232,314,2658
CC Berg et Coiron,165,104,127,157,60,131,744
CC Berry Grand Sud,158,120,159,207,80,190,914
CC Berry Loire Puisaye,283,235,268,334,176,364,1660
CC Berry-Loire-Vauvise,58,70,64,102,52,83,429
CC Billom Communauté,336,302,331,380,174,333,1856
CC Bièvre Isère,828,674,759,841,400,515,4017
CC Blangy-Pont l'Evêque Intercom,258,191,196,239,100,136,1120
CC Bouzonvillois-Trois Frontières,282,268,276,317,136,264,1543
CC Brenne - Val de Creuse,218,203,229,242,137,153,1182
CC Bresse Haute Seille,257,200,181,240,105,130,1113
CC Bresse Louhannaise Intercom',437,339,373,391,170,230,1940
CC Bresse Revermont 71,154,105,100,129,59,88,635
CC Bretagne Porte de Loire Communauté,435,366,404,457,213,329,2204
CC Bretagne Romantique,524,412,454,536,261,436,2623
CC Briance Combade,66,53,69,84,32,77,381
CC Briance Sud Haute Vienne,93,76,106,123,64,115,577
CC Brie Nangissienne,402,322,357,383,150,239,1853
CC Brie des Rivières et Châteaux,398,335,396,438,151,225,1943
CC Bruyères-Vallons des Vosges,229,186,199,245,127,293,1279
CC Bugey Sud,561,444,484,572,239,347,2647
CC Buëch-Dévoluy,140,130,132,167,80,133,782
CC Cagire Garonne Salat,258,219,258,247,139,280,1401
CC Campagne-De-Caux,176,171,170,224,115,169,1025
CC Canaux et Forêts en Gâtinais,386,314,337,404,254,448,2143
CC Cap Sizun - Pointe du Raz,248,151,180,183,114,191,1067
CC Capcir Haut Conflent,138,75,114,174,71,96,668
CC Carmausin-Ségala,576,436,508,556,252,406,2734
CC Carnelle Pays-De-France,369,291,315,360,118,220,1673
CC Castelnaudary Lauragais Audois,533,443,414,452,210,344,2396
CC Castillon/Pujols,419,364,341,444,205,308,2081
CC Causses Aigoual Cévennes,122,93,100,109,48,92,564
CC Causses et Vallée de la Dordogne,852,569,642,784,357,595,3799
CC Caux - Austreberthe,384,366,415,435,225,427,2252
CC Caux Estuaire,174,167,228,235,120,206,1130
CC Cazals-Salviac,74,65,76,96,41,64,416
CC Centre Morbihan Communauté,639,524,605,670,377,512,3327
CC Centre Tarn,173,137,157,189,72,137,865
"CC Chablis, Villages et Terroirs",172,151,180,185,90,146,924
CC Chabris - Pays de Bazelle,79,68,80,98,51,82,458
CC Challans-Gois Communauté,808,669,679,809,365,624,3954
CC Chalosse Tursan,369,316,324,395,199,307,1910
CC Champagnole Nozeroy Jura,305,242,263,317,140,147,1414
CC Champsaur-Valgaudemar,154,136,167,218,119,170,964
CC Charente-Arnoult-Coeur de Saintonge,318,217,270,247,137,240,1429
CC Charlieu-Belmont,301,250,272,357,192,297,1669
CC Chavanon Combrailles et Volcans,145,126,106,153,96,132,758
"CC Chinon, Vienne et Loire",417,281,277,375,190,293,1833
CC Châteaubriant-Derval,724,577,586,702,318,630,3537
"CC Chénérailles, Auzances/Bellegarde et Haut Pays Marchois",164,137,163,169,94,168,895
"CC Ciate, Bourganeuf/Royère-De-Vassivière",175,170,183,240,109,220,1097
CC Cingal-Suisse Normande,360,328,332,418,155,285,1878
CC Cluses-Arve et Montagnes,934,745,828,952,342,549,4350
CC Coeur Côte Fleurie,468,287,302,372,167,279,1875
CC Coeur Haute Lande,357,278,307,322,161,245,1670
CC Coeur d'Astarac en Gascogne,120,93,95,122,46,84,560
"CC Coeur d'Ostrevent [c,C,C,O,]",1401,1189,1462,1616,801,1413,7882
CC Coeur d'Yvelines,495,371,421,516,202,278,2283
CC Coeur de Beauce,339,256,330,365,196,264,1750
CC Coeur de Berry,266,182,215,294,133,239,1329
CC Coeur de Brenne,45,41,70,59,34,60,309
CC Coeur de Charente,316,265,329,367,153,314,1744
CC Coeur de Chartreuse,224,193,214,208,91,143,1073
CC Coeur de France,289,222,264,329,174,366,1644
CC Coeur de Garonne,528,440,547,614,296,525,2950
CC Coeur de Lozère,251,186,160,176,80,79,932
CC Coeur de Maurienne Arvan,245,180,249,213,73,110,1070
CC Coeur de Nacre,372,297,295,390,184,288,1826
CC Coeur de Savoie,625,436,475,480,222,310,2548
CC Coeur de Sologne,155,107,135,145,99,148,789
CC Coeur de Tarentaise,287,97,147,74,49,44,698
CC Coeur de l'Avesnois,577,465,533,621,276,605,3077
CC Coeur du Perche,169,136,136,170,87,127,825
CC Coeur du Var,795,718,719,831,349,533,3945
CC Coeur et Coteaux du Comminges,714,593,603,712,338,596,3556
CC Combrailles Sioule et Morge,265,228,233,274,126,219,1345
CC Commentry Montmarault Néris Communauté,390,314,351,380,192,492,2119
CC Communauté Bray-Eawy,344,268,281,388,176,284,1741
CC Communauté Lesneven Côte des Légendes,426,352,331,477,232,347,2165
CC Communauté de Communes de Thann-Cernay,620,486,549,652,259,457,3023
CC Comtal Lot et Truyère,212,173,169,200,92,133,979
CC Conflent-Canigó,554,379,359,513,217,331,2353
CC Conques-Marcillac,135,94,125,145,57,94,650
CC Corbières Salanque Méditerranée,455,343,374,463,211,370,2216
CC Coteaux et Plaines du Pays Lafrançaisain,172,166,175,195,95,157,960
CC Coteaux et Vallées des Luys,128,66,100,144,38,76,552
CC Couesnon Marches de Bretagne,286,221,250,273,136,222,1388
CC Couserans-Pyrénées,715,477,618,639,269,490,3208
CC Coutances Mer et Bocage,706,549,622,702,345,490,3414
CC Creuse Grand Sud,191,176,199,207,101,240,1114
CC Cère et Goul en Carladès,42,40,49,55,39,50,275
CC Côte Landes Nature,368,152,143,240,113,145,1161
CC Côte Ouest Centre Manche,315,240,323,350,176,264,1668
CC Côte d'Albâtre,372,348,399,474,254,451,2298
CC Côte d'Emeraude,608,385,415,500,241,379,2528
CC Côtes de Champagne et Val de Saulx,195,148,176,174,93,130,916
CC Côtes de Meuse Woëvre,105,69,71,100,58,69,472
CC Decazeville Communauté,318,251,275,253,102,181,1380
CC Dieulefit-Bourdeaux,163,138,149,174,79,143,846
CC Dombes Saône Vallée,494,352,399,426,161,182,2014
CC Domfront Tinchebray Interco,215,144,174,230,112,167,1042
CC Douarnenez Communauté,385,277,338,358,191,337,1886
CC Dronne et Belle,185,121,130,138,62,108,744
CC Drôme Sud Provence,831,718,845,936,420,687,4437
CC Dômes Sancy Artense,152,105,127,164,77,112,737
CC Ecueillé-Valençay,156,114,121,182,75,144,792
CC Eguzon - Argenton - Vallée de la Creuse,312,268,256,344,157,279,1616
CC Elan Limousin Avenir Nature,320,297,343,404,185,334,1883
CC Enclave des Papes-Pays de Grignan,452,334,447,468,211,421,2333
CC Entr'allier Besbre et Loire,352,276,313,381,190,429,1941
CC Entre Aire et Meuse - Triaucourt-Vaubécourt,77,54,59,82,27,69,368
"CC Entre Arroux, Loire et Somme",295,245,269,336,146,279,1570
CC Entre Beauce et Perche,268,228,213,302,146,247,1404
CC Entre Dore et Allier,262,222,266,332,174,292,1548
CC Entre Juine et Renarde (Ccejr),302,246,229,267,104,176,1324
CC Entre Saône et Grosne,163,130,106,141,94,140,774
CC Estuaire et Sillon,532,439,455,530,257,375,2588
CC Eure-Madrie-Seine,493,385,438,582,255,465,2618
CC Falaises du Talou,364,298,332,425,201,378,1998
CC Faucigny-Glières,457,374,411,416,143,207,2008
CC Fercher Pays Florentais,187,153,156,184,81,159,920
CC Fier et Usses,224,195,165,190,71,94,939
CC Flandre Lys,567,506,519,607,298,423,2920
"CC Forêts, Lacs, Terres en Champagne",102,65,105,104,60,56,492
"CC Forêts, Seine et Suzon",63,52,70,73,22,52,332
CC Fumel Vallée du Lot,396,298,313,485,221,383,2096
CC Gally Mauldre,183,153,163,213,115,146,973
CC Gartempe - Saint Pardoux,55,61,58,80,36,73,363
CC Giennoises,528,381,434,469,268,475,2555
CC Gorges Causses Cévennes,190,76,88,129,50,49,582
CC Grand Orb Communauté de Communes en Languedoc,433,295,308,391,184,332,1943
CC Grand Sud Tarn et Garonne,772,664,764,811,372,576,3959
CC Grand-Figeac,724,470,503,537,240,328,2802
CC Gâtinais Val de Loing,267,237,245,312,133,213,1407
CC Haut - Bugey,1130,826,1078,1090,511,714,5349
CC Haut Chemin-Pays de Pange,174,173,180,227,92,153,999
CC Haut Limousin en Marche,270,224,231,342,162,291,1520
CC Haut Nivernais-Val d'Yonne,133,133,139,192,76,145,818
CC Haut Val de Sèvre,412,357,385,431,223,387,2195
CC Haut-Jura Saint-Claude,389,259,280,334,153,219,1634
CC Haut-Léon Communauté,526,352,411,492,278,480,2539
CC Haute Maurienne Vanoise,142,96,109,82,33,37,499
CC Haute Sarthe Alpes Mancelles,289,238,298,318,187,331,1661
CC Haute Saulx et Perthois-Val d'Ornois,219,171,200,237,126,236,1189
CC Haute Vallée du Thoré,107,60,82,80,45,61,435
CC Haute-Corrèze Communauté,505,348,338,404,192,288,2075
CC Haute-Provence-Pays de Banon,212,148,172,199,107,156,994
CC Hautes Terres,164,104,110,122,55,73,628
CC Houve-Pays Boulageois,301,249,276,343,159,261,1589
CC Inter-Caux-Vexin,566,460,527,660,277,529,3019
CC Interco Normandie Sud Eure,712,626,654,831,409,729,3961
CC Intercom Bernay Terres de Normandie,815,679,813,906,413,990,4616
CC Intercom de la Vire Au Noireau,738,593,643,690,347,662,3673
CC Interrégionale Aumale - Blangy-Sur-Bresle,307,245,329,381,185,359,1806
CC Isigny-Omaha Intercom,410,264,328,370,223,299,1894
CC Isle Double Landais,195,158,201,220,100,213,1087
CC Isle Vern Salembre en Périgord,306,260,294,286,147,299,1592
CC Isle et Crempse en Périgord,193,166,206,247,101,206,1119
CC Jabron-Lure-Vançon-Durance,80,62,96,93,50,71,452
CC Jalle-Eau-Bourde,382,338,357,416,197,277,1967
CC Jura Nord,145,132,131,164,73,115,760
CC Jura Sud,94,95,104,122,61,78,554
CC Lacs et Gorges du Verdon,232,128,110,164,75,124,833
CC Lamballe Terre et Mer,1055,816,848,947,481,745,4892
CC Larzac et Vallées,101,58,69,88,44,42,402
CC Latitude Nord Gironde,387,330,375,441,205,344,2082
