lib_epci,anc_moins_3_mois,anc_3_a_5_mois,anc_6_a_11_mois,anc_12_a_23_mois,anc_24_a_35_mois,anc_plus_36_mois,total
Bordeaux Métropole,18116,14576,14914,16314,7010,11046,81976
Brest Métropole,4065,3234,3109,3610,1753,2956,18727
CA Agglo Pays d'Issoire,970,739,848,1054,466,882,4959
CA Agglo du Pays de Dreux,2228,1666,2035,2249,1091,1955,11224
CA Agglomération du Choletais,1728,1412,1561,1764,856,1558,8879
CA Alès Agglomération,2784,2209,2430,2996,1301,2756,14476
CA Amiens Métropole,4224,3100,3465,3889,1912,3435,20025
CA Annemasse- les Voirons-Agglomération,2210,1586,1766,1859,602,777,8800
CA Annonay Rhône Agglo,833,674,814,963,399,731,4414
CA Ardenne Métropole,2226,1818,2103,2702,1307,2684,12840
CA Arlysère,1203,695,709,657,276,387,3927
CA Bassin d'Arcachon Sud-Pôle Atlantique (Cobas),1448,927,1038,1276,559,926,6174
"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",835,615,672,796,385,618,3921
CA Bergeracoise,1163,963,1042,1145,517,972,5802
CA Bourges Plus,1762,1413,1477,1794,923,1555,8924
CA Cannes Pays de Lérins,4898,2815,3035,3836,1555,2481,18620
CA Cap Excellence,2432,2069,2764,3317,1684,5023,17289
CA Carcassonne Agglo,2583,1734,1906,2405,1049,1973,11650
CA Caux Vallée de Seine,1191,1033,1303,1462,754,1461,7204
CA Chambéry Métropole-Coeur des Bauges,2540,1834,1885,2041,832,1172,10304
CA Chartres Métropole,2137,1685,2049,2256,1025,1696,10848
CA Chauny Tergnier la Fère,1062,985,1080,1210,637,1177,6151
CA Châteauroux Métropole,1420,1221,1304,1469,703,1231,7348
CA Civis (Communauté Intercommunale des Villes Solidaires),5259,5134,5859,7058,3844,9917,37071
CA Clisson Sèvre et Maine Agglo,772,611,633,763,346,607,3732
CA Coeur d'Essonne Agglomération,3302,2469,2515,2636,1046,1470,13438
CA Colmar Agglomération,1933,1429,1728,2018,913,1484,9505
CA Communauté Paris-Saclay,4445,3503,3607,3798,1505,2075,18933
CA Concarneau Cornouaille Agglomération,1022,638,731,898,413,645,4347
CA Creil Sud Oise,2192,1622,1893,2134,942,1495,10278
CA Dinan Agglomération,1619,1286,1486,1717,816,1390,8314
CA Dracénoise,2371,1692,1706,2201,859,1301,10130
CA Durance-Lubéron-Verdon Agglomération,1549,1029,1184,1345,676,947,6730
