code_epci,lib_epci,anc_moins_3_mois,anc_3_a_5_mois,anc_6_a_11_mois,anc_12_a_23_mois,anc_24_a_35_mois,anc_plus_36_mois,total
200000172.0,CC Faucigny-Glières,465,334,389,412,201,241,2042
200000438.0,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,521,429,420,550,304,490,2714
200000545.0,CC des Portes de Romilly-sur-Seine,485,376,348,456,206,396,2267
200000628.0,CC Rhône Lez Provence,508,400,493,591,281,483,2756
200000800.0,CC Coeur de Sologne,123,112,108,157,82,140,722
200000925.0,CC de la Plaine Dijonnaise,261,176,234,263,132,275,1341
200000933.0,CC Sauldre et Sologne,207,171,156,220,104,182,1040
200004802.0,CC du Pays de Fayence,519,331,358,452,208,304,2172
200005932.0,CC des Portes de Sologne,188,149,142,198,88,176,941
200005957.0,CC de la Région de Rambervillers,209,147,168,209,135,227,1095
200006682.0,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",740,584,559,627,372,619,3501
200006716.0,CC du Nogentais,256,220,220,261,146,218,1321
200006930.0,CC du Haut-Allier,76,38,41,48,32,54,289
200006971.0,CC du Perche,266,239,282,327,172,291,1577
200007052.0,CC de la Marche Berrichonne,51,51,52,63,25,47,289
200007177.0,CC Pays de Nérondes,58,56,45,66,39,81,345
200010650.0,CA du Grand Dole,803,659,654,803,385,572,3876
200010700.0,CA Caux Seine Agglo,1161,989,982,1360,826,1550,6868
200011773.0,CA Annemasse-les Voirons-Agglomération,2157,1574,1636,1662,716,845,8590
200011781.0,CC Portes du Berry entre Loire et Val d'Aubois,113,93,111,154,80,164,715
200012060.0,CC Petite Montagne,87,62,63,92,46,61,411
200013050.0,CC Sauer-Pechelbronn,199,144,168,184,98,193,986
200015162.0,CC de l'Oriente,164,67,71,69,32,28,431
200016905.0,CC du Pays de Lamastre,108,80,84,129,68,91,560
200017341.0,CC Lodévois et Larzac,366,234,278,359,202,341,1780
200017846.0,CA Étampois Sud-Essonne (CCESE),899,671,662,761,381,487,3861
200018083.0,CC de Desvres-Samer,306,228,245,344,169,362,1654
200018166.0,CC Le Grésivaudan,1183,1025,1044,1180,597,900,5929
200018406.0,CC du Romorantinais et du Monestois,480,385,467,536,336,567,2771
200018521.0,CC du Val de Bouzanne,66,66,56,76,43,81,388
200018653.0,CA Cap Excellence,2626,2094,2164,2781,1660,4600,15925
200022986.0,CC du Grand Pic Saint-Loup,614,531,574,699,394,572,3384
200023075.0,CC du Pays de Maîche,286,200,221,254,108,171,1240
200023125.0,CC Les Portes Briardes entre Villes et Forêts,595,434,484,515,226,358,2612
200023240.0,CC Pays de Nemours,520,392,403,467,257,380,2419
200023299.0,CC Coeur de Tarentaise,246,115,177,103,43,27,711
200023307.0,CA du Grand Villeneuvois,1031,739,724,859,502,815,4670
200023372.0,CC de la Vallée de Chamonix-Mont-Blanc,330,160,184,161,65,91,991
200023414.0,Métropole Rouen Normandie,9946,7768,8001,9317,5060,9338,49430
200023620.0,CC de la Gascogne Toulousaine,295,184,168,241,114,192,1194
200023737.0,CA du Grand Cahors,856,559,636,827,443,738,4059
200023778.0,CC du Pays de Saint-Gilles-Croix-de-Vie,912,713,679,903,454,767,4428
200023794.0,CC de Blaye,409,301,358,420,228,407,2123
200023919.0,CC Gâtinais Val de Loing,299,255,246,299,134,236,1469
200026573.0,CC Haut-Jura Saint-Claude,313,246,256,318,141,213,1487
200027027.0,CC Arc Sud Bretagne,420,329,308,385,220,349,2011
200027076.0,CC Arnon Boischaut Cher,106,89,82,107,66,135,585
200027100.0,CC Méditerranée Porte des Maures,1117,594,598,820,421,698,4248
200027183.0,CU Perpignan Méditerranée Métropole,6374,4946,4960,6596,3391,5695,31962
