code_epci,lib_epci,anc_moins_3_mois,anc_3_a_5_mois,anc_6_a_11_mois,anc_12_a_23_mois,anc_24_a_35_mois,anc_plus_36_mois,total
200040384.0,CC Isle Double Landais,240,161,169,212,113,226,1121
200069094.0,CC Isle et Crempse-en-Périgord,192,147,210,256,124,206,1135
200040095.0,CC Isle Vern Salembre en Périgord,275,222,265,341,145,279,1527
242401024.0,CC Isle-Loue-Auvézère en Périgord,162,152,140,177,99,124,854
200071033.0,CC Jabron-Lure-Vançon-Durance,87,65,77,98,50,71,448
243301165.0,CC Jalle-Eau-Bourde,401,353,308,400,197,285,1944
243900560.0,CC Jura Nord,145,129,144,151,92,110,771
243900412.0,CC Jura Sud,107,88,90,89,62,83,519
200070548.0,CC La Clayette Chauffailles en Brionnais,196,147,161,198,104,179,985
243400488.0,CC La Domitienne,557,459,474,570,328,463,2851
243900610.0,CC La Grandvallière,84,41,57,88,37,43,350
200068914.0,CC La Rochefoucauld - Porte du Périgord,273,237,237,363,184,338,1632
241800374.0,CC La Septaine,155,132,131,131,68,141,758
200040210.0,CC Lacs et Gorges du Verdon,227,121,126,159,84,122,839
200069391.0,CC Lamballe Terre et Mer,1030,804,802,991,491,752,4870
241200906.0,CC Larzac et Vallées,90,54,82,83,46,64,419
243301181.0,CC Latitude Nord Gironde,377,364,320,439,220,360,2080
243100567.0,CC Lauragais Revel Sorezois,363,253,338,410,203,348,1915
200070282.0,CC Lavalette Tude Dronne,208,175,222,283,127,243,1258
249100595.0,CC Le Dourdannais en Hurepoix (Ccdh),328,255,265,321,129,186,1484
241800424.0,CC Le Dunois,96,64,94,98,49,99,500
200072684.0,CC Le Gesnois Bilurien,379,353,346,481,227,399,2185
200071884.0,CC Le Grand Charolais,537,401,482,611,281,499,2811
200018166.0,CC Le Grésivaudan,1252,1050,1074,1273,641,837,6127
200039642.0,CC Le Tonnerrois en Bourgogne,215,203,190,272,167,196,1243
200069086.0,CC Leff Armor Communauté,472,344,393,546,290,411,2456
